price (grands),bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age,renovated_age,sqft_living15,sqft_lot15
667,3,1,1400,1581,1.5,0,0,5,8,1400,0,108,0,1860,3861
438,3,1.75,1520,6380,1,0,0,3,7,790,730,69,0,1520,6235
719,4,2.5,2570,7173,2,0,0,3,8,2570,0,12,0,2630,6026
580.5,3,2.5,2320,3980,2,0,0,3,8,2320,0,14,0,2580,3980
280,2,1.5,1190,1265,3,0,0,3,7,1190,0,12,0,1390,1756
687.5,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,88,0,1460,5000
535,3,1,1090,3000,1.5,0,0,4,8,1090,0,88,0,1570,5080
322.5,4,2.75,2060,6659,1,0,0,3,7,1280,780,36,0,2020,8720
696,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,87,72,1590,3264
550,4,1,1660,34848,1,0,0,1,5,930,730,84,0,2160,11467
640,4,2,2360,6000,2,0,0,4,8,2360,0,113,0,1730,4700
240,4,1,1220,8075,1,0,0,2,7,890,330,48,0,1290,7800
605,4,2.5,2620,7553,2,0,0,3,8,2620,0,21,0,2620,11884
625,4,2.5,2570,5520,2,0,0,3,9,2570,0,17,0,2470,5669
775,4,2.25,4220,24186,1,0,0,3,8,2600,1620,33,0,2410,30617
861.99,5,2.75,3595,5639,2,0,0,3,9,3595,0,3,0,3625,5639
685,3,1,1570,2280,2,0,0,3,7,1570,0,95,0,1580,2640
309,3,1,1280,9656,1,0,0,4,6,920,360,58,0,1340,8808
488,3,2.5,3160,13603,2,0,0,3,8,3160,0,14,0,3050,9232
210.49,3,1,990,8528,1,0,0,3,6,990,0,51,0,1228,8840
785,4,2.5,2290,13416,2,0,0,4,9,2290,0,36,0,2680,13685
450,3,1.75,1250,5963,1,0,0,4,7,1250,0,64,0,970,5100
1350,3,2.5,2753,65005,1,1,2,5,9,2165,588,64,0,2680,72513
228,3,1,1190,9199,1,0,0,3,7,1190,0,62,0,1190,9364
345,5,2.5,3150,9134,1,0,0,4,8,1640,1510,51,0,1990,9133
600,3,1.75,1410,4080,1,0,0,4,7,1000,410,67,0,1410,4080
585,2,1.75,1980,8550,1,0,0,3,7,990,990,36,0,1480,6738
920,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,90,0,2730,6000
885,4,2.5,2830,5000,2,0,0,3,9,2830,0,22,0,1950,5000
292.5,4,2.5,2250,4495,2,0,0,3,7,2250,0,9,0,2250,4500
301,3,2.5,2420,4750,2,0,0,3,8,2420,0,14,0,2690,4750
951,5,3.25,3250,14342,2,0,4,4,8,3250,0,49,0,2960,11044
430,4,3,1850,9976,2,0,0,3,8,1850,0,26,0,2270,8542
650,3,2.25,2150,21235,1,0,3,4,8,1590,560,58,0,2570,18900
289,3,1.75,1260,8400,1,0,0,3,7,1260,0,63,0,1290,8750
505,3,1.75,2519,8690,2,0,0,5,8,2519,0,44,0,2500,9500
549,3,1.75,1540,1044,3,0,0,3,8,1540,0,3,0,1580,3090
425,3,2.25,1660,6000,1,0,0,3,7,1110,550,38,0,1440,4080
317.625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,92,0,1440,4000
975,4,2.5,2720,11049,2,0,0,3,10,2720,0,28,0,2750,11049
287,4,2.5,2240,4648,2,0,0,3,7,2240,0,12,0,2221,4557
204,3,1,1000,12070,1,0,0,4,7,1000,0,49,0,1010,12635
1325,5,2.25,3200,20158,1,0,0,3,8,1600,1600,52,0,3390,20158
1040,5,3.25,4770,50094,1,0,0,4,11,3070,1700,44,0,3530,38917
325,3,2,1260,5612,1,0,0,4,7,1260,0,45,0,1640,4745
571,4,2,2750,7807,1.5,0,0,5,7,2250,500,101,0,1510,7807
360,4,2.5,2380,5000,2,0,0,3,8,2380,0,12,0,2420,5000
349,3,1.75,1790,50529,1,0,0,5,7,1090,700,52,0,1940,50529
832.5,4,4,3430,35102,2,0,0,4,10,2390,1040,31,0,3240,35020
380,4,1.75,1760,7300,1,0,0,3,7,880,880,61,0,1680,7500
480,3,1,1040,5060,1,0,0,3,7,1040,0,76,0,890,5060
410,3,1,1410,5060,1,0,0,4,7,910,500,61,0,1130,5693
720,4,2.5,3450,39683,2,0,0,3,10,3450,0,15,0,3350,39750
390,3,2.5,2350,5100,2,0,0,3,8,2350,0,14,0,2350,5363
360,4,2.5,1900,5889,2,0,0,3,7,1900,0,25,0,1870,6405
355,2,1,2020,6720,1,0,0,3,7,1010,1010,69,0,1720,6720
356,3,1.5,1680,8712,1,0,0,3,8,1680,0,53,0,1850,8797
315,3,1,960,6634,1,0,0,3,6,960,0,65,0,1570,7203
940,3,1.5,2140,3600,2,0,0,3,9,1900,240,92,0,2020,4800
305,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,56,0,1590,8165
461,3,3.25,2770,6278,2,0,0,3,9,1980,790,11,0,1900,7349
215,2,2.25,1610,2040,2,0,0,4,7,1610,0,38,0,1950,2025
335,2,1.75,1030,1066,2,0,0,3,7,765,265,11,0,1030,1106
243.5,4,2.5,1980,7403,2,0,0,3,7,1980,0,29,0,1980,7510
1099.88,5,2.75,3520,6353,2,0,0,4,10,3520,0,16,0,2520,6250
153,3,1,1200,10500,1,0,0,3,7,1200,0,55,0,1350,10500
430,3,1.5,1580,5000,1,0,0,3,8,1290,290,78,0,1570,4500
700,3,1.5,1580,5000,1,0,0,3,8,1290,290,78,0,1570,4500
905,4,2.5,3300,10250,1,0,0,3,7,2390,910,71,45,1950,6045
247.5,3,1.75,1960,15681,1,0,0,3,7,1960,0,50,0,1750,15616
199,4,1.5,1160,6400,1,0,0,4,7,1160,0,42,0,1160,6400
314,3,1.75,1810,41800,1,0,0,5,7,1210,600,37,0,1650,135036
437.5,3,2.5,2320,36847,2,0,2,3,9,2320,0,25,0,2550,35065
850.83,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,107,0,2200,4500
555,3,2,1980,3478,1.5,0,0,4,7,1440,540,88,0,1610,3478
699.95,3,2.25,2190,107593,2,0,0,4,8,2190,0,34,0,2570,47777
1088,3,2.5,2920,8113,2,0,0,3,8,2920,0,67,60,2370,8113
290,3,1,1210,33919,1,0,0,3,7,1210,0,63,0,1640,14910
375,3,2.5,2340,10005,1,0,0,4,8,1460,880,39,0,2250,8162
460,3,1,1670,4005,1.5,0,0,4,7,1170,500,78,0,1240,4005
188.5,2,1.75,1240,2493,1,0,0,4,8,1240,0,32,0,1270,4966
680,4,2.5,3140,28037,2,0,0,4,10,3140,0,26,0,2990,35001
470,5,1.75,2030,12342,2,0,0,4,7,2030,0,75,0,2500,9433
597.75,4,2.5,2310,9624,2,0,0,3,8,2310,0,33,0,1940,9636
570,3,1.75,1260,3328,1,0,0,5,6,700,560,112,0,1380,3536
272.5,3,1.75,1540,12600,1,0,0,4,7,1160,380,37,0,1540,11656
329.95,3,1.75,2080,5969,1,0,2,3,7,1080,1000,46,0,2090,5500
480,4,2.5,3230,16171,2,0,3,3,9,2520,710,16,0,2640,8517
740.5,3,3.5,4380,6350,2,0,0,3,8,2780,1600,117,99,1830,6350
518.5,3,3.5,1590,1102,3,0,0,3,8,1590,0,7,0,1620,3166
205.425,2,1,880,6780,1,0,0,4,6,880,0,72,0,1190,6780
171.8,4,2,1570,9600,1,0,0,3,6,1570,0,67,0,1880,9000
535,4,1,1610,2982,1.5,0,0,4,7,1610,0,92,0,1610,4040
660,3,2.5,2400,6474,1,0,2,3,8,1560,840,53,0,2340,10856
391.5,3,2,1450,9132,1,0,0,3,7,1450,0,30,0,1580,9104
395,2,1,770,6000,1,0,0,3,6,770,0,64,0,1710,6000
445,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,93,0,1850,4400
770,3,2.25,2910,10204,2,0,0,3,9,2910,0,27,0,2700,13992
1450,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,103,78,3060,11275
445,3,2.25,2100,8201,1,0,2,3,8,1620,480,50,0,2660,8712
260,4,2.25,2160,8811,1,0,0,3,8,1360,800,39,0,2090,8400
822.5,5,3.5,2320,4960,2,0,0,5,7,1720,600,91,0,1700,4960
430,4,2.5,2070,4310,2,0,0,3,7,2070,0,13,0,1970,3748
212,3,1.75,1060,7875,1,0,0,4,7,1060,0,31,0,1420,7680
660.5,4,2.25,2010,9603,1,0,0,3,8,1440,570,31,0,2060,9793
784,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,28,0,2480,88500
453.246,3,2.5,2010,2287,2,0,0,3,8,1390,620,3,0,1690,1662
675,4,3.5,2140,2278,3,0,0,3,9,2140,0,12,0,1540,2285
199,3,1.75,1320,17390,1,0,0,4,7,1320,0,61,0,1550,19265
220,4,1.75,2020,7840,1,0,0,3,7,1010,1010,49,0,1750,8140
452,4,2.25,2590,10002,1,0,0,4,8,1340,1250,49,0,1550,10436
382.5,2,1,1190,4440,1,0,0,3,6,1190,0,36,0,1060,5715
519.95,3,2.25,1170,1249,3,0,0,3,8,1170,0,3,0,1350,1310
665,2,1,1110,3200,1,0,0,3,7,1110,0,92,0,1170,3600
527.7,5,2.5,2820,9375,1,0,0,4,8,1550,1270,49,0,2820,9375
205,3,1,1610,8579,1,0,0,4,7,1010,600,55,0,1610,8579
420,3,1,1060,8097,1,0,0,4,7,940,120,94,0,1560,7940
500,4,2.25,2030,8517,1,0,0,4,8,1380,650,56,0,2230,8824
921.5,4,2.5,3670,315374,2,0,0,4,9,3670,0,23,0,2840,87991
890,4,1,2550,4000,2,0,0,3,8,2370,180,112,0,2200,4000
430,2,2.5,2420,60984,2,0,0,3,7,2420,0,10,0,1940,193842
258,5,2,2260,12500,1,0,0,4,8,1130,1130,57,0,1360,18000
511,3,1,1430,3455,1,0,0,3,7,980,450,70,0,1450,4599
532.17,3,2,1360,3090,2,0,0,3,8,1360,0,27,0,1500,3090
560,3,1,1110,5000,1.5,0,0,3,7,1110,0,70,0,1420,5000
282.95,3,1,1250,8200,1,0,0,4,7,1250,0,63,0,1680,8633
2250,4,3.25,5180,19850,2,0,3,3,12,3540,1640,11,0,3160,9750
350,1,1,700,5100,1,0,0,3,7,700,0,75,0,1010,5100
215,3,1,1180,7669,1,0,0,4,7,1180,0,50,0,1190,7669
650,5,3.5,3960,25245,2,0,0,3,9,2500,1460,21,0,2640,13675
320,4,2.75,2640,7500,1,0,0,3,8,1620,1020,50,0,1980,7875
247,3,2,1270,7198,1.5,0,0,3,7,1270,0,101,97,1160,7198
320,4,1.75,1760,11180,1,0,0,4,8,1760,0,49,0,1730,11180
255,5,2.25,2060,8632,1,0,0,3,7,1030,1030,55,0,1010,11680
438,3,1.75,1780,9660,1,0,0,3,7,1780,0,55,0,1200,9660
900,3,2.5,3400,16603,2,0,0,3,10,3400,0,17,0,3400,12601
441,3,2.75,1910,7280,1,0,0,3,7,1160,750,38,0,1710,8152
420,3,2,2020,38332,1,0,0,4,7,1010,1010,42,0,2110,36590
370,3,1.75,1580,7000,1,0,0,3,7,1180,400,41,0,1640,7500
269.95,2,1.75,1340,7250,1,0,0,5,5,700,640,68,0,1830,9750
807.1,4,2.5,2680,4499,2,0,0,3,9,2680,0,18,0,2920,4500
653,3,2.5,2680,9750,1,0,0,4,8,1610,1070,38,0,2480,8750
371.5,3,2,1370,8336,1,0,0,5,7,1370,0,53,0,1770,7288
284,3,1.75,1560,21000,1,0,0,3,7,1560,0,63,0,1070,7920
272,3,1.75,2160,7140,1,0,0,4,7,1670,490,39,0,1930,7350
313,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,62,0,1480,7940
917.5,4,2.5,3880,35003,2,0,0,3,10,2570,1310,33,0,3740,35230
673,4,2.25,2590,8190,2,0,0,4,8,2590,0,37,0,2260,8335
425,3,2.5,1120,1100,2,0,0,3,8,820,300,9,0,1590,1795
399.95,5,2.75,1970,5400,1,0,0,3,7,1320,650,31,0,1280,2150
385,3,1,1220,4800,1,0,0,3,6,1220,0,116,0,1200,4800
269.95,3,1.5,1950,7560,1,0,2,4,7,1320,630,42,0,1950,8941
330,2,1,1350,8220,1,0,0,3,7,1060,290,68,0,1540,8280
260,3,2.5,1670,5797,2,0,0,3,7,1670,0,29,0,1670,6183
470,4,3,2380,5125,1.5,0,0,4,7,1680,700,92,0,1410,5375
589,4,3,2440,9600,2,0,0,5,7,2440,0,56,0,2290,9600
163.5,2,1.5,1050,3419,2,0,0,3,7,1050,0,21,0,1050,3417
835,4,2.75,3130,13412,2,0,0,3,9,2140,990,24,0,2260,9984
1095,5,3,4090,12850,1,0,2,4,10,2090,2000,31,0,2540,10270
269,4,1.75,1490,10000,1,0,0,4,8,1100,390,48,0,2190,8910
560,3,2.5,1900,8744,2,0,0,3,8,1900,0,30,0,2030,8744
615,4,1,1330,2400,1.5,0,0,4,6,1330,0,116,0,1330,4400
585.188,3,2.25,2230,10026,1,0,0,3,8,1430,800,42,0,2230,9340
305,3,1.75,1650,9480,1,0,0,3,7,1220,430,40,0,1540,8400
166.95,3,1,1190,8820,1,0,0,3,6,1190,0,58,0,1230,7980
799,3,2.5,2140,9897,1,0,0,4,8,2140,0,58,0,2680,10083
400,3,2.5,2180,7508,1,0,0,4,7,1420,760,55,0,1900,7818
230,3,1,1060,10228,1,0,0,3,7,1060,0,69,0,1570,10228
256.883,3,2.5,1690,5025,2,0,0,3,8,1690,0,14,0,2550,5001
423,4,2,1970,6480,1.5,0,0,5,7,1130,840,97,0,1500,6480
465,3,2.5,2150,4084,2,0,0,3,8,2150,0,10,0,1750,2385
440,3,2.5,1910,66211,2,0,0,3,7,1910,0,20,0,2330,67268
385,3,1.75,1350,155073,1,0,0,4,7,1350,0,48,0,1560,50965
210,3,1,860,11725,1,0,0,4,6,860,0,74,0,1300,9514
297,3,2.5,1940,14952,2,0,0,3,8,1940,0,23,0,2030,10450
470,3,1,1010,5000,1,0,0,3,7,1010,0,65,0,1680,5000
226.5,3,1.5,1300,7370,1,0,0,4,7,900,400,41,0,1430,7500
274.25,3,1,910,8450,1,0,0,4,6,910,0,55,0,1400,8040
840,4,1.75,2480,11010,1,0,0,4,9,1630,850,51,0,2770,10744
677.9,3,2.5,2440,4587,2,0,0,3,8,2440,0,7,0,2750,4587
425,3,1,1010,5864,1,0,0,3,7,1010,0,102,0,1290,5000
180.25,2,0.75,900,9600,1,0,0,3,6,900,0,76,0,1250,14280
464,6,3,2300,3404,2,0,0,3,7,1600,700,97,74,1560,1312
320,4,2.25,1550,7579,2,0,0,3,8,1550,0,24,0,1630,6397
625.504,3,2.25,1270,1566,2,0,0,3,8,1060,210,3,0,1160,1327
592.5,4,2.5,2240,12032,1,0,0,3,9,2240,0,34,0,2520,12368
465,3,2.5,2714,17936,2,0,0,3,9,2714,0,12,0,2590,18386
477,4,2.75,1720,6270,2,0,0,3,8,1720,0,39,0,2130,8700
280,2,1,850,16400,1,0,0,3,6,850,0,94,0,1100,14459
1505,5,3,3300,33474,1,0,3,3,9,1870,1430,60,34,3836,20953
445.838,3,2.5,2250,5692,2,0,0,3,8,2250,0,17,0,1320,5390
1072,2,2.25,3900,14864,1,0,3,3,8,1950,1950,70,0,2580,5184
467,2,1.5,1320,10800,1,0,0,4,8,1320,0,70,0,2120,12040
686,4,2.5,2760,6440,2,0,0,3,10,2760,0,18,0,3070,8127
279.95,3,2,1750,9750,1,0,0,3,7,1350,400,56,0,1900,10125
527,4,2.25,2330,19436,2,0,0,3,8,2330,0,30,0,1910,10055
325,3,2.25,2220,16020,1,0,0,4,8,1780,440,51,0,2080,9583
328,3,2.25,2020,8379,2,0,0,3,7,2020,0,23,0,2020,8031
390,3,2.25,1250,7500,1,0,0,5,7,1250,0,75,0,1280,7392
479.95,2,2,1510,6516,1,0,0,3,8,1510,0,12,0,1640,6009
264.95,4,2.25,1720,9753,1,0,0,4,7,1120,600,39,0,1510,9753
235,3,1,1430,15246,1,0,0,4,7,980,450,56,0,1960,13068
516.5,3,2.5,1480,4729,2,0,0,3,7,1480,0,13,0,2250,4729
655,2,1.75,1450,15798,2,1,4,3,7,1230,220,102,63,2030,13193
500,4,2.75,2280,15347,1,0,0,5,7,2280,0,57,0,2280,15347
315,6,2.75,2940,7350,1,0,0,3,8,1780,1160,39,0,2120,8236
213,2,1,1000,10200,1,0,0,3,6,1000,0,56,0,1150,13702
475,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,70,0,2090,4800
1025,5,4,3760,28040,2,0,0,3,10,3760,0,34,0,3430,35096
416,3,2,2220,94300,1,0,0,5,7,1640,580,41,0,2070,80100
410,4,1,1970,4740,1.5,0,0,3,7,1670,300,113,101,1510,4740
800,3,3.5,3830,221284,2,0,0,3,10,3530,300,24,0,2920,148539
472,6,2.5,4410,14034,1,0,2,4,9,2350,2060,52,0,2600,13988
225,3,1.75,1430,8505,1,0,0,4,7,1430,0,49,0,1190,8640
210,2,1,830,6000,1,0,0,3,6,830,0,77,0,830,4960
455,2,1,1430,5000,1.5,0,0,2,7,1430,0,92,0,1450,3750
225,3,1,1300,8316,1,0,0,4,6,1300,0,63,0,1260,8316
480,2,1,1030,3060,1,0,2,4,7,790,240,99,0,1390,3060
363,3,2.5,2740,11872,2,0,0,3,9,2740,0,27,0,2570,10377
2400,4,2.5,3650,8354,1,1,4,3,9,1830,1820,17,0,3120,18841
181,2,1.5,720,5120,1,0,0,3,6,720,0,63,0,1150,2566
250,4,2,2010,7312,1,0,0,4,7,2010,0,41,0,2010,7650
481,3,1.75,1560,3000,1,0,0,4,6,770,790,99,0,1390,3000
260,3,2,1810,7209,1,0,0,4,7,1240,570,39,0,1750,7209
455,4,2.5,3360,7685,2,0,0,3,9,3360,0,16,0,3060,6567
415,3,2.25,1510,36224,2,0,0,3,8,1510,0,26,0,1730,36224
349.5,3,1,1400,3538,1,0,0,3,7,800,600,64,0,1620,6331
245,3,2.5,1730,7442,2,0,0,3,7,1730,0,30,0,1630,6458
592.5,2,2,1420,9191,1.5,0,2,5,7,1420,0,89,0,1420,6816
385,4,1.75,2360,7620,1,0,0,4,7,1180,1180,62,0,1910,7620
315,3,1.75,1580,11455,1,0,0,4,7,1200,380,43,0,1550,10650
255,3,1,1230,10170,1,0,0,3,7,1230,0,38,0,1380,10098
693,4,2.5,2460,4425,2,0,0,3,8,2460,0,11,0,2990,5659
780,3,1,1660,4400,1.5,0,0,3,8,1460,200,106,0,1660,4400
237,3,1.75,1270,8470,1,0,0,4,7,1270,0,57,0,1600,8470
525,3,2.25,2100,40510,2,0,0,3,10,1320,780,38,0,2380,33450
425,2,1,770,5040,1,0,0,3,5,770,0,87,0,1330,2580
369.9,1,0.75,760,10079,1,1,4,5,5,760,0,81,0,1230,14267
290,4,2.5,1700,7280,2,0,0,4,7,1700,0,29,0,1950,7475
285,3,1,1120,10701,1,0,0,3,7,1120,0,63,0,1130,6350
415,2,1,1070,4500,1,0,0,3,7,1070,0,80,0,1320,4465
272.5,3,2.5,2070,9900,1,0,0,3,8,1420,650,38,0,2070,8250
2900,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,35,26,3890,20060
1365,4,4.75,5310,57346,2,0,0,4,11,5310,0,28,0,4180,47443
436,2,1,1040,7538,1,0,0,4,7,1040,0,78,0,1440,7530
210,3,1,1700,11390,1,0,0,4,7,1700,0,50,0,1350,8164
236,3,1,1300,5898,1,0,0,3,7,1300,0,56,0,1320,7619
331,3,1.75,1080,1306,1,0,0,3,7,580,500,63,49,1440,2225
365,3,2.5,2653,4510,2,0,0,3,8,2653,0,11,0,2653,4927
450,3,2,2290,16258,1,0,0,5,8,2290,0,57,0,1660,10530
770,4,2.75,3820,26300,2,0,0,3,9,2850,970,3,0,1860,12136
455,4,2.5,2210,49375,1,0,0,3,8,2210,0,20,0,2670,49385
405,3,1.75,2390,6000,1,0,0,3,6,1240,1150,109,0,2020,6000
304.9,4,1.75,2600,11325,1,0,0,4,7,1610,990,48,0,1720,11088
170,2,1,860,5265,1,0,0,3,6,860,0,86,0,1650,8775
2050,5,3,3830,8480,2,0,1,5,9,2630,1200,112,89,3050,7556
780,4,2.5,3500,7048,2,0,0,3,9,3500,0,12,0,3920,7864
330,3,3,2420,13959,1,0,0,4,8,1740,680,29,0,2570,13300
370,4,2.5,2720,8666,2,0,0,3,9,2720,0,25,0,2410,8100
467,5,2.25,2500,13500,1,0,0,3,7,1850,650,38,0,2300,9750
405,3,1.75,1670,6720,1,0,0,3,7,1140,530,37,0,1670,7320
675,5,2.25,2900,10300,1,0,0,3,8,1450,1450,32,0,2310,10300
500,2,1,1640,14100,1,0,0,4,7,1140,500,63,0,1520,13527
389.999,4,2.5,1890,15770,2,0,0,4,7,1890,0,49,0,2410,15256
630,4,1.75,2950,9025,1,0,2,4,8,1780,1170,42,0,2120,9600
360,4,2.5,2160,9528,2,0,0,3,9,2160,0,25,0,2280,9937
580,4,3,3280,11060,2,0,0,3,8,2270,1010,31,0,2320,11004
550,3,2,1970,4166,2,0,3,5,8,1270,700,88,0,2390,4166
879,4,2.5,3360,22111,2,0,0,3,10,3360,0,23,0,3150,11374
265,3,2,1320,8959,1,0,0,3,7,1320,0,24,0,1740,7316
446.5,3,2.5,2650,7286,2,0,0,3,8,2650,0,27,0,2400,7220
404,3,1.5,2030,8880,1,0,0,3,7,1330,700,54,0,2140,5592
267.5,3,1.75,1590,11914,1,0,2,3,7,1090,500,60,0,1630,9052
3075,4,5,4550,18641,1,1,4,3,10,2600,1950,15,0,4550,19508
335,3,2.5,2440,7632,2,0,0,3,8,2440,0,19,0,2510,7903
576,3,2.5,1940,9000,1,0,0,4,7,970,970,69,0,2190,7310
208.633,3,2.5,2040,3810,2,0,0,3,8,2040,0,11,0,2370,4590
315,3,2.25,2200,8750,1,0,0,4,7,1120,1080,53,0,1460,10139
725,3,1.75,1920,3300,1,0,0,4,8,960,960,104,0,1740,4000
550,4,2.75,1800,7750,1,0,0,4,8,1400,400,52,0,1800,8275
610.75,4,2.25,2180,7297,2,0,0,3,8,2180,0,33,0,2250,9781
550.7,2,1,1010,5000,1.5,0,0,4,6,1010,0,109,0,1460,5000
665,4,2.75,3320,10574,2,0,0,5,8,2220,1100,57,0,2720,8330
834,4,2.5,2370,4000,1.5,0,2,5,8,1980,390,89,0,2440,5750
201,5,1.75,1660,78408,1.5,0,0,3,6,1660,0,102,0,1660,78408
2384,5,2.5,3650,9050,2,0,4,5,10,3370,280,96,0,2880,5400
1384,4,3.25,4290,12103,1,0,3,3,11,2690,1600,20,0,3860,11244
1400,4,3.25,4290,12103,1,0,3,3,11,2690,1600,20,0,3860,11244
305,4,2.25,1950,7700,1,0,0,3,8,1350,600,38,0,2150,7350
487,3,2,2590,14052,1,0,0,5,8,1720,870,69,0,1570,8162
390,3,2.5,1930,64904,1,0,0,4,8,1930,0,29,0,2350,57500
548,2,1,1470,3864,1,0,0,4,7,1170,300,101,0,1570,3864
268.75,4,1,800,8775,1,0,0,3,6,800,0,74,0,1310,8775
819.9,5,2.75,3150,7119,2,0,0,3,9,3150,0,4,0,1560,8384
520,3,2.25,2030,16200,2,0,0,3,8,2030,0,33,0,2660,17958
230,3,2,1450,11204,1,0,0,3,7,1450,0,14,0,1520,9518
240,3,1.75,1510,10248,1,0,0,3,7,1510,0,48,0,1510,9753
232,2,1,1240,12092,1,0,0,3,6,960,280,95,62,1820,7460
240.5,2,1,1240,12092,1,0,0,3,6,960,280,95,62,1820,7460
274.975,3,2.5,3030,45004,2,0,0,3,9,3030,0,30,0,3080,35781
740,4,2,2050,4400,1.5,0,0,4,9,2050,0,95,0,2320,5500
186.375,3,1,1000,7636,1,0,0,2,7,1000,0,65,0,1150,7600
790,3,2.25,2370,10289,1,0,0,4,9,1590,780,40,0,2500,10004
880,4,3.5,2800,6750,2,0,0,3,9,1890,910,66,51,2370,6120
279,6,1.75,2240,11180,2,0,0,4,7,2240,0,62,0,1590,7955
295,3,2,1810,10530,1,0,2,3,8,1810,0,26,0,1910,10450
640,2,1,1070,5000,1,0,0,3,7,1070,0,93,0,1710,5000
940,4,2,2490,9525,2,0,0,5,9,2490,0,49,0,2770,9525
260,4,2.5,1960,5238,2,0,0,3,7,1960,0,14,0,1800,5894
559.9,3,2.75,2930,5569,1,0,0,3,9,1860,1070,13,0,2580,11045
791.5,4,2,1510,3500,1.5,0,0,5,7,1510,0,106,0,1820,3750
265,3,1.75,1420,8250,1,0,0,3,7,1420,0,63,0,1740,8000
245,3,1.75,1740,11547,1,0,0,3,7,1740,0,63,0,880,78408
485,4,1.75,2560,43995,2,0,0,4,7,2560,0,55,0,2560,14764
684,4,3.5,3040,8414,2,0,0,3,9,2420,620,7,0,3470,8066
425,3,1.75,2500,6840,1,0,0,3,8,1300,1200,60,0,1580,8691
309.6,4,1.75,1275,20000,1,0,0,4,6,1275,0,26,0,1660,20000
552.25,4,2.5,2580,5823,2,0,0,3,8,2580,0,15,0,2380,5823
165,4,1,1000,7134,1,0,0,3,6,1000,0,74,0,1020,7138
239.9,4,1,1000,7134,1,0,0,3,6,1000,0,74,0,1020,7138
320,2,1,1070,32633,1,0,0,4,6,1070,0,87,0,1360,32156
206.6,3,2,1390,13464,1,0,0,4,7,1390,0,30,0,1720,12080
387,4,1.75,2500,7690,1,0,0,3,7,1250,1250,44,0,2040,8646
299,1,0.75,560,12120,1,0,0,3,4,560,0,50,0,1300,19207
855,4,2.75,2270,10460,2,0,0,3,9,2270,0,52,0,2610,10180
315,3,1,1900,14400,1,0,0,4,7,1300,600,63,0,1940,14400
437.5,2,1,990,3120,1,0,2,5,7,790,200,110,0,1930,3120
252,4,1.5,1550,19800,1,0,0,4,7,1050,500,48,0,1640,22654
